M,N,K,dtype,device,gpu_name,latency_us,kernel_name,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40
16,128,32,f16,4,NVIDIA GeForce RTX 4090,5.688,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params),2.833213344056216,4.859812404361672,3.4965075614664802,1.0,128.0,2520.0,1024.0,128.0,400.0,4000.0,160.0,32.0,32.0,32.0,64.0,64.0,32.0,16.0,8.0,16.0,1.0,0.0,11.783509698884497,128.0,9.704121561132915,40.96,4.096,76.8,10.397238225511654,32.0,10.24,1.024,19.2,32.0,1.0,0.6931471805599453,0.030771658666753687,4.0,9.704121561132915,1.0,1.0
32,128,33,f16,4,NVIDIA GeForce RTX 4090,8.7024,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params),3.4965075614664802,4.859812404361672,3.5263605246161616,1.0,128.0,2520.0,1024.0,128.0,400.0,4000.0,160.0,32.0,32.0,32.0,64.0,64.0,32.0,16.0,8.0,16.0,1.0,0.0,12.507424607839306,264.0,10.130184782049636,62.72,6.272,105.6,11.121141343917929,66.0,15.68,1.568,26.4,66.0,2.0625,0.6931471805599453,0.030771658666753687,4.0,10.130184782049636,1.0,1.0
64,64,64,f16,4,NVIDIA GeForce RTX 4090,5.632,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params),4.174387269895637,4.174387269895637,4.174387269895637,1.0,128.0,2520.0,1024.0,128.0,400.0,4000.0,160.0,32.0,32.0,32.0,64.0,64.0,32.0,16.0,8.0,16.0,1.0,0.0,13.169798337985775,512.0,10.620375673477872,102.4,10.24,204.8,11.783509698884497,128.0,25.6,2.56,51.2,128.0,4.0,0.6931471805599453,0.030771658666753687,4.0,10.620375673477872,1.0,1.0
96,160,48,f16,4,NVIDIA GeForce RTX 4090,5.8368,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params),4.574710978503383,5.081404364984463,3.8918202981106265,1.0,128.0,2520.0,1024.0,128.0,400.0,4000.0,160.0,32.0,32.0,32.0,64.0,64.0,32.0,16.0,8.0,16.0,1.0,0.0,14.203870876337673,1440.0,11.718971686369219,307.2,30.72,576.0,11.495830169541591,96.0,20.48,2.048,38.4,96.0,11.25,0.6931471805599453,0.11081436634029011,15.0,11.718971686369219,1.0,1.0
127,255,95,f16,4,NVIDIA GeForce RTX 4090,5.7344,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_32x1_nn_align1>(T1::Params),4.852030263919617,5.545177444479562,4.564348191467836,1.0,128.0,2520.0,1024.0,128.0,400.0,4000.0,160.0,32.0,32.0,32.0,64.0,64.0,32.0,16.0,8.0,16.0,1.0,0.0,15.632474866295876,6008.935546875,13.020576468799792,1129.025,112.9025,2417.75,12.178501017549362,190.0,35.52,3.552,76.0,190.0,46.94480895996094,0.6931471805599453,0.22314355131420976,32.0,13.020576468799792,1.0,1.0
128,128,128,f16,4,NVIDIA GeForce RTX 4090,5.632,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params),4.859812404361672,4.859812404361672,4.859812404361672,1.0,128.0,2520.0,1024.0,128.0,400.0,4000.0,160.0,32.0,32.0,32.0,64.0,64.0,32.0,16.0,8.0,16.0,1.0,0.0,15.249238210737348,4096.0,12.594435676571663,737.28,73.728,1638.4,12.476653064769005,256.0,46.08,4.608,102.4,256.0,32.0,0.6931471805599453,0.11778303565638346,16.0,12.594435676571663,1.0,1.0
129,128,128,f16,4,NVIDIA GeForce RTX 4090,5.632,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align1>(T1::Params),4.867534450455582,4.859812404361672,4.859812404361672,1.0,128.0,2520.0,1024.0,128.0,400.0,4000.0,160.0,32.0,32.0,32.0,64.0,64.0,32.0,16.0,8.0,16.0,1.0,0.0,15.257020349331198,4128.0,12.703694481687531,822.4,82.24,1849.6000000000001,12.476653064769005,256.0,46.08,4.608,102.4,256.0,33.65,0.6931471805599453,0.1451820098444979,20.0,12.703694481687531,1.0,1.0
130,129,33,f16,4,NVIDIA GeForce RTX 4090,10.448,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params),4.875197323201151,4.867534450455582,3.5263605246161616,1.0,128.0,2520.0,1024.0,128.0,400.0,4000.0,160.0,32.0,32.0,32.0,64.0,64.0,32.0,16.0,8.0,16.0,1.0,0.0,13.917002500332547,1080.87890625,11.686971204796423,297.525,29.7525,534.1875,11.121141343917929,66.0,15.68,1.568,26.4,66.0,9.12333984375,0.6931471805599453,0.17840765747281828,25.0,11.686971204796423,1.0,1.0
191,257,65,f16,4,NVIDIA GeForce RTX 4090,9.0624,void cutlass::Kernel2<cutlass_75_tensorop_f16_s1688gemm_f16_64x64_nn_align1>(T1::Params),5.2574953720277815,5.552959584921617,4.189654742026425,1.0,128.0,2520.0,1024.0,128.0,400.0,4000.0,160.0,64.0,64.0,32.0,64.0,64.0,32.0,16.0,8.0,16.0,1.0,0.0,15.668884120105055,6231.748046875,12.684028943312882,806.385,80.63850000000001,1402.375,13.18530249517797,520.0,62.08,6.208,104.0,520.0,49.7275390625,0.6931471805599453,0.11081436634029011,15.0,12.684028943312882,1.0,1.0
255,255,255,f16,4,NVIDIA GeForce RTX 4090,6.0368,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align1>(T1::Params),5.545177444479562,5.545177444479562,5.545177444479562,1.0,128.0,2520.0,1024.0,128.0,400.0,4000.0,160.0,32.0,32.0,32.0,64.0,64.0,32.0,16.0,8.0,16.0,1.0,0.0,17.31693784618954,32385.498046875,14.608888067247632,5527.125,552.7125,13005.0,13.165884446144423,510.0,86.72,8.672,204.0,510.0,253.01170349121094,0.6931471805599453,0.4054651081081644,64.0,14.608888067247632,1.0,1.0
