M,N,K,dtype,device,gpu_name,latency_us,kernel_name,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40
16,128,32,f16,5,NVIDIA A40,6.5088,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_32x1_nn_align8>(T1::Params),16.0,128.0,32.0,1.0,84.0,1740.0,1024.0,128.0,400.0,3000.0,128.0,16.0,16.0,32.0,64.0,64.0,32.0,16.0,8.0,16.0,1.0,0.0,131072.0,128.0,24576.0,61.44,8.192,128.0,16384.0,16.0,7.68,1.024,16.0,16.0,1.5238095238095237,1.0,0.09523809523809523,8.0,24576.0,1.0,1.0
32,128,33,f16,5,NVIDIA A40,6.536,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align1>(T1::Params),32.0,128.0,33.0,1.0,84.0,1740.0,1024.0,128.0,400.0,3000.0,128.0,32.0,32.0,32.0,64.0,64.0,32.0,16.0,8.0,16.0,1.0,0.0,270336.0,264.0,33280.0,83.2,11.093333333333334,132.0,67584.0,66.0,20.8,2.7733333333333334,33.0,66.0,3.142857142857143,1.0,0.047619047619047616,4.0,33280.0,1.0,1.0
64,64,64,f16,5,NVIDIA A40,6.6336,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align8>(T1::Params),64.0,64.0,64.0,1.0,84.0,1740.0,1024.0,128.0,400.0,3000.0,128.0,32.0,32.0,32.0,64.0,64.0,32.0,16.0,8.0,16.0,1.0,0.0,524288.0,512.0,49152.0,122.88,16.384,256.0,131072.0,128.0,30.72,4.096,64.0,128.0,6.095238095238095,1.0,0.047619047619047616,4.0,49152.0,1.0,1.0
96,160,48,f16,5,NVIDIA A40,5.5824,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align8>(T1::Params),96.0,160.0,48.0,1.0,84.0,1740.0,1024.0,128.0,400.0,3000.0,128.0,32.0,32.0,32.0,64.0,64.0,32.0,16.0,8.0,16.0,1.0,0.0,1474560.0,1440.0,153600.0,384.0,51.2,720.0,98304.0,96.0,25.6,3.4133333333333336,48.0,96.0,17.142857142857142,1.0,0.17857142857142858,15.0,153600.0,1.0,1.0
127,255,95,f16,5,NVIDIA A40,7.5936,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_128x1_nn_align1>(T1::Params),127.0,255.0,95.0,1.0,84.0,1740.0,1024.0,128.0,400.0,3000.0,128.0,32.0,32.0,32.0,64.0,64.0,32.0,16.0,8.0,16.0,1.0,0.0,6153150.0,6008.935546875,516380.0,1290.95,172.12666666666667,3022.1875,194560.0,190.0,40.64,5.418666666666667,95.0,190.0,71.53494698660714,1.0,0.38095238095238093,32.0,516380.0,1.0,1.0
128,128,128,f16,5,NVIDIA A40,8.704,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel__5x_cublas,128.0,128.0,128.0,1.0,84.0,1740.0,1024.0,128.0,400.0,3000.0,128.0,128.0,128.0,32.0,64.0,64.0,32.0,16.0,8.0,16.0,1.0,0.0,4194304.0,4096.0,131072.0,327.68,43.690666666666665,512.0,4194304.0,4096.0,327.68,43.690666666666665,512.0,4096.0,48.76190476190476,1.0,0.011904761904761904,1.0,131072.0,1.0,1.0
129,128,128,f16,5,NVIDIA A40,7.0624,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_128x1_nn_align1>(T1::Params),129.0,128.0,128.0,1.0,84.0,1740.0,1024.0,128.0,400.0,3000.0,128.0,32.0,32.0,32.0,64.0,64.0,32.0,16.0,8.0,16.0,1.0,0.0,4227072.0,4128.0,361984.0,904.96,120.66133333333335,2312.0,262144.0,256.0,51.2,6.826666666666667,128.0,256.0,51.904761904761905,1.0,0.23809523809523808,20.0,361984.0,1.0,1.0
130,129,33,f16,5,NVIDIA A40,6.7648,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align1>(T1::Params),130.0,129.0,33.0,1.0,84.0,1740.0,1024.0,128.0,400.0,3000.0,128.0,32.0,32.0,32.0,64.0,64.0,32.0,16.0,8.0,16.0,1.0,0.0,1106820.0,1080.87890625,152550.0,381.375,50.85,667.734375,67584.0,66.0,20.8,2.7733333333333334,33.0,66.0,14.234933035714286,1.0,0.2976190476190476,25.0,152550.0,1.0,1.0
191,257,65,f16,5,NVIDIA A40,6.8416,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params),191.0,257.0,65.0,1.0,84.0,1740.0,1024.0,128.0,400.0,3000.0,128.0,32.0,32.0,32.0,64.0,64.0,32.0,16.0,8.0,16.0,1.0,0.0,6381310.0,6231.748046875,620278.0,1550.695,206.75933333333333,3311.953125,133120.0,130.0,31.04,4.1386666666666665,65.0,130.0,76.28069196428571,1.0,0.6428571428571429,54.0,620278.0,1.0,1.0
255,255,255,f16,5,NVIDIA A40,6.632,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params),255.0,255.0,255.0,1.0,84.0,1740.0,1024.0,128.0,400.0,3000.0,128.0,32.0,32.0,32.0,64.0,64.0,32.0,16.0,8.0,16.0,1.0,0.0,33162750.0,32385.498046875,2340900.0,5852.25,780.3,16256.25,522240.0,510.0,91.84,12.245333333333333,255.0,510.0,385.54164341517856,1.0,0.7619047619047619,64.0,2340900.0,1.0,1.0
