gpu_name,kernel_name,device,dtype,M,N,K,split_k_slices,swizzle,tb_m,tb_n,tb_k,iterations,warmup,status,error,latency_us,task_count,swizzle_log_tile,grid_m,grid_n,grid_k
RTX 4090,cutlass_tensorop_gemm,0,f16,128,128,64,1,Identity,128,128,32,10,2,ok,,7.3728,1,0,1,1,1
RTX 4090,cutlass_tensorop_gemm,0,f16,128,128,64,1,Identity2,128,128,32,10,2,ok,,7.3728,1,0,1,1,1
RTX 4090,cutlass_tensorop_gemm,0,f16,128,128,64,1,Identity4,128,128,32,10,2,ok,,8.9088,1,0,1,1,1
RTX 4090,cutlass_tensorop_gemm,0,f16,128,128,64,2,Identity,128,128,32,10,2,ok,,11.568,2,0,1,1,2
RTX 4090,cutlass_tensorop_gemm,0,f16,128,128,64,2,Identity2,128,128,32,10,2,ok,,11.6736,2,0,1,1,2
RTX 4090,cutlass_tensorop_gemm,0,f16,128,128,64,2,Identity4,128,128,32,10,2,ok,,14.6432,2,0,1,1,2
RTX 4090,cutlass_tensorop_gemm,0,f16,128,128,128,1,Identity,128,128,32,10,2,ok,,8.9088,1,0,1,1,1
RTX 4090,cutlass_tensorop_gemm,0,f16,128,128,128,1,Identity2,128,128,32,10,2,ok,,7.8848,1,0,1,1,1
RTX 4090,cutlass_tensorop_gemm,0,f16,128,128,128,1,Identity4,128,128,32,10,2,ok,,8.9088,1,0,1,1,1
RTX 4090,cutlass_tensorop_gemm,0,f16,128,128,128,2,Identity,128,128,32,10,2,ok,,11.6736,2,0,1,1,2
RTX 4090,cutlass_tensorop_gemm,0,f16,128,128,128,2,Identity2,128,128,32,10,2,ok,,10.3424,2,0,1,1,2
RTX 4090,cutlass_tensorop_gemm,0,f16,128,128,128,2,Identity4,128,128,32,10,2,ok,,11.776,2,0,1,1,2
RTX 4090,cutlass_tensorop_gemm,0,f16,128,128,256,1,Identity,128,128,32,10,2,ok,,10.4448,1,0,1,1,1
RTX 4090,cutlass_tensorop_gemm,0,f16,128,128,256,1,Identity2,128,128,32,10,2,ok,,10.5472,1,0,1,1,1
RTX 4090,cutlass_tensorop_gemm,0,f16,128,128,256,1,Identity4,128,128,32,10,2,ok,,11.264,1,0,1,1,1
RTX 4090,cutlass_tensorop_gemm,0,f16,128,128,256,2,Identity,128,128,32,10,2,ok,,10.24,2,0,1,1,2
