gpu_name,kernel_name,device,dtype,M,N,K,split_k_slices,swizzle,tb_m,tb_n,tb_k,iterations,warmup,status,error,latency_us,task_count,swizzle_log_tile,grid_m,grid_n,grid_k
RTX 4090,cutlass_tensorop_gemm,0,f16,129,129,33,1,Identity,128,128,32,10,2,ok,,6.2464,4,0,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,129,129,33,1,Identity2,128,128,32,10,2,ok,,6.2464,4,1,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,129,129,33,1,Identity4,128,128,32,10,2,ok,,6.3488,4,1,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,129,129,33,2,Identity,128,128,32,10,2,error,"Command '['/home/sdu/zhangzhisen/GemmSim/Synperf/.cache/cutlass_gemm_bench', '--device', '0', '--m', '129', '--n', '129', '--k', '33', '--tb-m', '128', '--tb-n', '128', '--tb-k', '32', '--split-k', '2', '--swizzle', 'Identity', '--iterations', '10', '--warmup', '2']' returned non-zero exit status 7.",,-1,-1,-1,-1,-1
RTX 4090,cutlass_tensorop_gemm,0,f16,129,129,33,2,Identity2,128,128,32,10,2,error,"Command '['/home/sdu/zhangzhisen/GemmSim/Synperf/.cache/cutlass_gemm_bench', '--device', '0', '--m', '129', '--n', '129', '--k', '33', '--tb-m', '128', '--tb-n', '128', '--tb-k', '32', '--split-k', '2', '--swizzle', 'Identity2', '--iterations', '10', '--warmup', '2']' returned non-zero exit status 7.",,-1,-1,-1,-1,-1
RTX 4090,cutlass_tensorop_gemm,0,f16,129,129,33,2,Identity4,128,128,32,10,2,error,"Command '['/home/sdu/zhangzhisen/GemmSim/Synperf/.cache/cutlass_gemm_bench', '--device', '0', '--m', '129', '--n', '129', '--k', '33', '--tb-m', '128', '--tb-n', '128', '--tb-k', '32', '--split-k', '2', '--swizzle', 'Identity4', '--iterations', '10', '--warmup', '2']' returned non-zero exit status 7.",,-1,-1,-1,-1,-1
RTX 4090,cutlass_tensorop_gemm,0,f16,129,129,65,1,Identity,128,128,32,10,2,ok,,7.4752,4,0,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,129,129,65,1,Identity2,128,128,32,10,2,ok,,7.3728,4,1,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,129,129,65,1,Identity4,128,128,32,10,2,ok,,7.3728,4,1,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,129,129,65,2,Identity,128,128,32,10,2,error,"Command '['/home/sdu/zhangzhisen/GemmSim/Synperf/.cache/cutlass_gemm_bench', '--device', '0', '--m', '129', '--n', '129', '--k', '65', '--tb-m', '128', '--tb-n', '128', '--tb-k', '32', '--split-k', '2', '--swizzle', 'Identity', '--iterations', '10', '--warmup', '2']' returned non-zero exit status 7.",,-1,-1,-1,-1,-1
