gpu_name,kernel_name,device,dtype,M,N,K,split_k_slices,swizzle,tb_m,tb_n,tb_k,iterations,warmup,status,error,latency_us,task_count,swizzle_log_tile,grid_m,grid_n,grid_k
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,64,1,Identity,128,128,32,10,2,ok,,7.3728,36,0,6,6,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,64,1,Identity2,128,128,32,10,2,ok,,8.9088,36,1,6,6,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,64,1,Identity4,128,128,32,10,2,ok,,8.8064,36,2,6,6,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,64,2,Identity,128,128,32,10,2,ok,,13.4144,72,0,6,6,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,64,2,Identity2,128,128,32,10,2,ok,,13.4144,72,1,6,6,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,64,2,Identity4,128,128,32,10,2,ok,,12.9024,72,2,6,6,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,128,1,Identity,128,128,32,10,2,ok,,7.5776,36,0,6,6,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,128,1,Identity2,128,128,32,10,2,ok,,9.1072,36,1,6,6,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,128,1,Identity4,128,128,32,10,2,ok,,8.8064,36,2,6,6,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,128,2,Identity,128,128,32,10,2,ok,,14.2336,72,0,6,6,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,128,2,Identity2,128,128,32,10,2,ok,,14.4384,72,1,6,6,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,128,2,Identity4,128,128,32,10,2,ok,,14.0288,72,2,6,6,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,256,1,Identity,128,128,32,10,2,ok,,10.752,36,0,6,6,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,256,1,Identity2,128,128,32,10,2,ok,,10.752,36,1,6,6,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,256,1,Identity4,128,128,32,10,2,ok,,10.752,36,2,6,6,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,256,2,Identity,128,128,32,10,2,ok,,16.0768,72,0,6,6,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,256,2,Identity2,128,128,32,10,2,ok,,15.9744,72,1,6,6,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,256,2,Identity4,128,128,32,10,2,ok,,15.6672,72,2,6,6,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,512,1,Identity,128,128,32,10,2,ok,,17.3056,36,0,6,6,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,512,1,Identity2,128,128,32,10,2,ok,,17.408,36,1,6,6,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,512,1,Identity4,128,128,32,10,2,ok,,17.4016,36,2,6,6,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,512,2,Identity,128,128,32,10,2,ok,,19.3536,72,0,6,6,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,512,2,Identity2,128,128,32,10,2,ok,,19.1488,72,1,6,6,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,512,2,Identity4,128,128,32,10,2,ok,,19.0464,72,2,6,6,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,1024,1,Identity,128,128,32,10,2,ok,,30.208,36,0,6,6,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,1024,1,Identity2,128,128,32,10,2,ok,,30.5152,36,1,6,6,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,1024,1,Identity4,128,128,32,10,2,ok,,30.4128,36,2,6,6,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,1024,2,Identity,128,128,32,10,2,ok,,25.7024,72,0,6,6,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,1024,2,Identity2,128,128,32,10,2,ok,,26.112,72,1,6,6,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,768,1024,2,Identity4,128,128,32,10,2,ok,,25.3984,72,2,6,6,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,1024,64,1,Identity,128,128,32,10,2,ok,,7.3728,48,0,6,8,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,1024,64,1,Identity2,128,128,32,10,2,ok,,8.8064,48,1,6,8,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,1024,64,1,Identity4,128,128,32,10,2,ok,,8.9088,48,2,6,8,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,1024,64,2,Identity,128,128,32,10,2,ok,,14.4384,96,0,6,8,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,1024,64,2,Identity2,128,128,32,10,2,ok,,14.4384,96,1,6,8,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,1024,64,2,Identity4,128,128,32,10,2,ok,,14.0288,96,2,6,8,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,1024,128,1,Identity,128,128,32,10,2,ok,,8.9088,48,0,6,8,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,1024,128,1,Identity2,128,128,32,10,2,ok,,8.9088,48,1,6,8,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,1024,128,1,Identity4,128,128,32,10,2,ok,,9.3184,48,2,6,8,1
RTX 4090,cutlass_tensorop_gemm,1,f16,768,1024,128,2,Identity,128,128,32,10,2,ok,,15.36,96,0,6,8,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,1024,128,2,Identity2,128,128,32,10,2,ok,,15.2576,96,1,6,8,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,1024,128,2,Identity4,128,128,32,10,2,ok,,15.0528,96,2,6,8,2
RTX 4090,cutlass_tensorop_gemm,1,f16,768,1024,256,1,Identity,128,128,32,10,2,ok,,10.8544,48,0,6,8,1
