gpu_name,kernel_name,device,dtype,M,N,K,split_k_slices,swizzle,tb_m,tb_n,tb_k,iterations,warmup,status,error,latency_us,task_count,swizzle_log_tile,grid_m,grid_n,grid_k
RTX 4090,cutlass_tensorop_gemm,0,f16,512,512,2048,1,Identity,128,128,32,10,2,ok,,56.32,16,0,4,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,512,512,2048,1,Identity2,128,128,32,10,2,ok,,56.32,16,1,4,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,512,512,2048,1,Identity4,128,128,32,10,2,ok,,56.32,16,2,4,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,512,512,2048,2,Identity,128,128,32,10,2,ok,,33.6896,32,0,4,4,2
RTX 4090,cutlass_tensorop_gemm,0,f16,512,512,2048,2,Identity2,128,128,32,10,2,ok,,33.8944,32,1,4,4,2
RTX 4090,cutlass_tensorop_gemm,0,f16,512,512,2048,2,Identity4,128,128,32,10,2,ok,,33.5872,32,2,4,4,2
RTX 4090,cutlass_tensorop_gemm,0,f16,512,512,3072,1,Identity,128,128,32,10,2,ok,,82.944,16,0,4,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,512,512,3072,1,Identity2,128,128,32,10,2,ok,,82.7392,16,1,4,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,512,512,3072,1,Identity4,128,128,32,10,2,ok,,82.6368,16,2,4,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,512,512,3072,2,Identity,128,128,32,10,2,ok,,47.2064,32,0,4,4,2
RTX 4090,cutlass_tensorop_gemm,0,f16,512,512,3072,2,Identity2,128,128,32,10,2,ok,,46.7968,32,1,4,4,2
RTX 4090,cutlass_tensorop_gemm,0,f16,512,512,3072,2,Identity4,128,128,32,10,2,ok,,46.8992,32,2,4,4,2
RTX 4090,cutlass_tensorop_gemm,0,f16,512,512,4096,1,Identity,128,128,32,10,2,ok,,109.158,16,0,4,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,512,512,4096,1,Identity2,128,128,32,10,2,ok,,108.851,16,1,4,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,512,512,4096,1,Identity4,128,128,32,10,2,ok,,109.158,16,2,4,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,512,512,4096,2,Identity,128,128,32,10,2,ok,,60.1088,32,0,4,4,2
RTX 4090,cutlass_tensorop_gemm,0,f16,512,512,4096,2,Identity2,128,128,32,10,2,ok,,59.8016,32,1,4,4,2
RTX 4090,cutlass_tensorop_gemm,0,f16,512,512,4096,2,Identity4,128,128,32,10,2,ok,,60.0064,32,2,4,4,2
RTX 4090,cutlass_tensorop_gemm,0,f16,512,1024,2048,1,Identity,128,128,32,10,2,ok,,56.5248,32,0,4,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,512,1024,2048,1,Identity2,128,128,32,10,2,ok,,56.5248,32,1,4,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,512,1024,2048,1,Identity4,128,128,32,10,2,ok,,56.9344,32,2,4,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,512,1024,2048,2,Identity,128,128,32,10,2,ok,,36.2496,64,0,4,8,2
RTX 4090,cutlass_tensorop_gemm,0,f16,512,1024,2048,2,Identity2,128,128,32,10,2,ok,,36.2432,64,1,4,8,2
RTX 4090,cutlass_tensorop_gemm,0,f16,512,1024,2048,2,Identity4,128,128,32,10,2,ok,,36.2496,64,2,4,8,2
RTX 4090,cutlass_tensorop_gemm,0,f16,512,1024,3072,1,Identity,128,128,32,10,2,ok,,82.7392,32,0,4,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,512,1024,3072,1,Identity2,128,128,32,10,2,ok,,82.8416,32,1,4,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,512,1024,3072,1,Identity4,128,128,32,10,2,ok,,82.6368,32,2,4,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,512,1024,3072,2,Identity,128,128,32,10,2,ok,,49.8688,64,0,4,8,2
RTX 4090,cutlass_tensorop_gemm,0,f16,512,1024,3072,2,Identity2,128,128,32,10,2,ok,,49.4592,64,1,4,8,2
RTX 4090,cutlass_tensorop_gemm,0,f16,512,1024,3072,2,Identity4,128,128,32,10,2,ok,,49.3568,64,2,4,8,2
RTX 4090,cutlass_tensorop_gemm,0,f16,512,1024,4096,1,Identity,128,128,32,10,2,ok,,108.954,32,0,4,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,512,1024,4096,1,Identity2,128,128,32,10,2,ok,,108.851,32,1,4,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,512,1024,4096,1,Identity4,128,128,32,10,2,ok,,108.851,32,2,4,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,512,1024,4096,2,Identity,128,128,32,10,2,ok,,62.6688,64,0,4,8,2
RTX 4090,cutlass_tensorop_gemm,0,f16,512,1024,4096,2,Identity2,128,128,32,10,2,ok,,62.464,64,1,4,8,2
RTX 4090,cutlass_tensorop_gemm,0,f16,512,1024,4096,2,Identity4,128,128,32,10,2,ok,,62.8704,64,2,4,8,2
