gpu_name,kernel_name,device,dtype,M,N,K,split_k_slices,swizzle,tb_m,tb_n,tb_k,iterations,warmup,status,error,latency_us,task_count,swizzle_log_tile,grid_m,grid_n,grid_k
RTX 4090,cutlass_tensorop_gemm,1,f16,3072,2048,128,1,Identity,128,128,32,10,2,ok,,20.48,384,0,24,16,1
RTX 4090,cutlass_tensorop_gemm,1,f16,3072,2048,128,1,Identity2,128,128,32,10,2,ok,,20.5824,384,1,24,16,1
RTX 4090,cutlass_tensorop_gemm,1,f16,3072,2048,128,1,Identity4,128,128,32,10,2,ok,,20.48,384,2,24,16,1
RTX 4090,cutlass_tensorop_gemm,1,f16,3072,2048,128,2,Identity,128,128,32,10,2,ok,,76.9024,768,0,24,16,2
RTX 4090,cutlass_tensorop_gemm,1,f16,3072,2048,128,2,Identity2,128,128,32,10,2,ok,,76.9024,768,1,24,16,2
RTX 4090,cutlass_tensorop_gemm,1,f16,3072,2048,128,2,Identity4,128,128,32,10,2,ok,,76.288,768,2,24,16,2
RTX 4090,cutlass_tensorop_gemm,1,f16,3072,2048,256,1,Identity,128,128,32,10,2,ok,,30.208,384,0,24,16,1
RTX 4090,cutlass_tensorop_gemm,1,f16,3072,2048,256,1,Identity2,128,128,32,10,2,ok,,30.3104,384,1,24,16,1
RTX 4090,cutlass_tensorop_gemm,1,f16,3072,2048,256,1,Identity4,128,128,32,10,2,ok,,30.4128,384,2,24,16,1
RTX 4090,cutlass_tensorop_gemm,1,f16,3072,2048,256,2,Identity,128,128,32,10,2,ok,,82.944,768,0,24,16,2
RTX 4090,cutlass_tensorop_gemm,1,f16,3072,2048,256,2,Identity2,128,128,32,10,2,ok,,83.2512,768,1,24,16,2
RTX 4090,cutlass_tensorop_gemm,1,f16,3072,2048,256,2,Identity4,128,128,32,10,2,ok,,82.944,768,2,24,16,2
RTX 4090,cutlass_tensorop_gemm,1,f16,3072,2048,512,1,Identity,128,128,32,10,2,ok,,50.2784,384,0,24,16,1
RTX 4090,cutlass_tensorop_gemm,1,f16,3072,2048,512,1,Identity2,128,128,32,10,2,ok,,50.176,384,1,24,16,1
RTX 4090,cutlass_tensorop_gemm,1,f16,3072,2048,512,1,Identity4,128,128,32,10,2,ok,,50.3808,384,2,24,16,1
