M,N,K,dtype,device,gpu_name,latency_us,kernel_name
16,128,32,f16,4,NVIDIA GeForce RTX 4090,5.688,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
32,128,33,f16,4,NVIDIA GeForce RTX 4090,8.7024,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
64,64,64,f16,4,NVIDIA GeForce RTX 4090,5.632,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
96,160,48,f16,4,NVIDIA GeForce RTX 4090,5.8368,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
127,255,95,f16,4,NVIDIA GeForce RTX 4090,5.7344,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_32x1_nn_align1>(T1::Params)
128,128,128,f16,4,NVIDIA GeForce RTX 4090,5.632,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
129,128,128,f16,4,NVIDIA GeForce RTX 4090,5.632,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align1>(T1::Params)
130,129,33,f16,4,NVIDIA GeForce RTX 4090,10.448,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
191,257,65,f16,4,NVIDIA GeForce RTX 4090,9.0624,void cutlass::Kernel2<cutlass_75_tensorop_f16_s1688gemm_f16_64x64_nn_align1>(T1::Params)
255,255,255,f16,4,NVIDIA GeForce RTX 4090,6.0368,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align1>(T1::Params)
256,256,128,f16,4,NVIDIA GeForce RTX 4090,5.7856,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
257,255,65,f16,4,NVIDIA GeForce RTX 4090,5.376,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_32x1_nn_align1>(T1::Params)
384,128,3072,f16,4,NVIDIA GeForce RTX 4090,8.1408,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_nn
512,512,4096,f16,4,NVIDIA GeForce RTX 4090,19.8144,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_nn
768,4096,1536,f16,4,NVIDIA GeForce RTX 4090,66.048,ampere_fp16_s1688gemm_fp16_128x64_sliced1x2_ldg8_f2f_nn
1024,8192,2048,f16,4,NVIDIA GeForce RTX 4090,215.194,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
2048,4096,4096,f16,4,NVIDIA GeForce RTX 4090,435.866,ampere_fp16_s1688gemm_fp16_64x128_sliced1x2_ldg8_f2f_nn
4096,4096,4096,f16,4,NVIDIA GeForce RTX 4090,854.989,ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
8192,16384,8192,f16,4,NVIDIA GeForce RTX 4090,12676.8,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
16,128,33,f16,4,NVIDIA GeForce RTX 4090,14.6944,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
16,128,36,f16,4,NVIDIA GeForce RTX 4090,5.7856,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align2>(T1::Params)
16,128,40,f16,4,NVIDIA GeForce RTX 4090,5.888,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
16,128,45,f16,4,NVIDIA GeForce RTX 4090,8.448,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
16,128,48,f16,4,NVIDIA GeForce RTX 4090,5.7344,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
16,128,51,f16,4,NVIDIA GeForce RTX 4090,8.2944,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
16,128,57,f16,4,NVIDIA GeForce RTX 4090,10.4448,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
16,128,64,f16,4,NVIDIA GeForce RTX 4090,7.4752,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
16,128,72,f16,4,NVIDIA GeForce RTX 4090,9.8816,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
16,128,80,f16,4,NVIDIA GeForce RTX 4090,6.8608,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
16,128,81,f16,4,NVIDIA GeForce RTX 4090,10.8032,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
16,128,91,f16,4,NVIDIA GeForce RTX 4090,8.76,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
16,128,96,f16,4,NVIDIA GeForce RTX 4090,5.5808,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
16,128,102,f16,4,NVIDIA GeForce RTX 4090,5.632,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align2>(T1::Params)
16,128,112,f16,4,NVIDIA GeForce RTX 4090,5.7344,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
